Iteration	PolicyLoss	ValueLoss	Entropy	MeanReward	BestMeanReward
560	-0.08144108206033707	2.392725582467392e-05	1.3597619533538818	0.02121752	0.06796626
570	-0.0825948640704155	1.1724858268280514e-05	1.3596333265304565	0.015314238	0.06796626
580	-0.5005233287811279	2.0961384507245384e-05	1.3607710599899292	0.013317603	0.06796626
590	-0.031199632212519646	1.5780567991896532e-05	1.3610737323760986	0.022155758	0.06796626
600	0.9234021306037903	2.2254474970395677e-05	1.3584665060043335	0.0090358155	0.06796626
610	-0.09540162235498428	3.820752681349404e-06	1.3576990365982056	0.027470136	0.06796626
620	0.03290911763906479	2.3427508494933136e-05	1.357630968093872	0.026488537	0.06796626
630	-0.13489337265491486	3.0384881029021926e-05	1.3577908277511597	0.031730276	0.06796626
640	-0.06860766559839249	1.1629776054178365e-05	1.3586779832839966	0.0127842305	0.06796626
650	-0.37257644534111023	1.130690270656487e-05	1.3584226369857788	0.018672254	0.06796626
660	-0.300125390291214	4.991430614609271e-05	1.3594293594360352	0.0028002523	0.06796626
670	0.14442673325538635	5.479793617269024e-05	1.3545548915863037	0.026351238	0.06796626
680	-0.3687383532524109	7.604513029946247e-06	1.3513526916503906	-0.10163023	0.06796626
690	-0.11086878925561905	1.0462401405675337e-05	1.3551065921783447	-0.17699352	0.06796626
700	0.3067343235015869	6.918361577845644e-06	1.3469276428222656	-0.038925786	0.06796626
710	-0.05900898575782776	5.768401024397463e-06	1.3417378664016724	-0.14284775	0.06796626
720	0.06816010177135468	1.6154473996721208e-05	1.33307945728302	-0.026633868	0.06796626
730	-0.07273009419441223	9.699482689029537e-06	1.3346165418624878	0.0247816	0.06796626
740	0.17910774052143097	1.3128727914590854e-05	1.3253802061080933	0.02245554	0.06796626
750	0.11258199065923691	3.579688927857205e-05	1.3225247859954834	0.026339835	0.06796626
760	-0.12521949410438538	2.6139281544601545e-05	1.3225306272506714	0.031102126	0.06796626
770	-0.13360552489757538	3.6994249967392534e-05	1.3197836875915527	0.04897096	0.06796626
780	-0.04448584467172623	2.546911855461076e-05	1.319182276725769	0.021847991	0.06796626
790	-0.08607590198516846	2.0869094441877678e-05	1.3183752298355103	0.04041433	0.06796626
800	-0.1321437805891037	4.7992820327635854e-05	1.3180516958236694	0.029567976	0.06796626
810	-0.08986775577068329	1.8983131667482667e-05	1.3167564868927002	0.022229392	0.06796626
820	0.14293450117111206	2.3944212443893775e-05	1.31632399559021	0.00093293673	0.06796626
830	-0.16048644483089447	4.840336259803735e-05	1.311740756034851	0.039591853	0.06796626
840	-0.13972198963165283	4.512531450018287e-05	1.309278964996338	0.029377216	0.06796626
850	-0.11705246567726135	1.62764590641018e-05	1.305845856666565	0.033955403	0.06796626
860	-0.1814710646867752	6.226841833267827e-06	1.3027476072311401	0.049570113	0.06796626
870	0.22084493935108185	1.3864739230484702e-05	1.3007794618606567	-0.07502399	0.06796626
880	-0.08292627334594727	5.625387348118238e-05	1.2992287874221802	-0.00034451857	0.06796626
890	0.4650278687477112	6.769273113604868e-06	1.2948955297470093	0.04213839	0.06796626
900	-0.11283545941114426	6.55233088764362e-05	1.2939103841781616	0.039128393	0.06796626
910	-0.879116415977478	0.00013189624587539583	1.2956510782241821	0.038615473	0.06796626
920	-0.09735473990440369	6.286358984652907e-05	1.2923290729522705	0.036850095	0.06796626
930	-0.14396856725215912	5.092652645544149e-05	1.2906512022018433	0.013031913	0.06796626
940	-0.33862581849098206	0.00010258986731059849	1.2871986627578735	0.026370626	0.06796626
950	0.026979684829711914	3.0059201890253462e-05	1.286400556564331	0.03526571	0.06796626
960	-0.3025956153869629	3.283688420196995e-05	1.2854108810424805	0.04098682	0.06796626
970	-0.05163559317588806	3.7045698263682425e-05	1.2901910543441772	0.04728949	0.06796626
980	-0.1062157079577446	1.3909189874539152e-05	1.2920880317687988	0.032730203	0.06796626
990	-0.11111669987440109	0.00010423587082186714	1.2960885763168335	0.033408992	0.06796626
1000	-0.09111371636390686	1.3183249393478036e-05	1.2949904203414917	0.03618849	0.06796626
